Ticker,Company,Pattern,Start Date,End Date,Width,API Start Date,API End Date,Breakout Date,Have Data
UNI,UNIBEP (UNI),double_bottom,2023-08-17,2023-08-30,13,2023-07-09,2023-10-08,,True
WIG30,WIG30,flag,2023-07-17,2023-08-11,25,2023-05-03,2023-10-25,,False
CRJ,CREEPYJAR (CRJ),double_bottom,2023-07-31,2023-08-18,18,2023-06-07,2023-10-11,,True
CRJ,CREEPYJAR (CRJ),flat_base,2023-08-03,2023-08-28,25,2023-05-20,2023-11-11,,True
CRJ,CREEPYJAR (CRJ),descending_triangle,2023-07-23,2023-08-18,26,2023-05-06,2023-11-04,,True
WPL,WIRTUALNA (WPL),double_bottom,2023-08-21,2023-08-28,7,2023-07-31,2023-09-18,,True
RNK,RANKPROGR (RNK),falling_wedge,2023-08-11,2023-08-23,12,2023-07-06,2023-09-28,,True
CIE,CIECH (CIE),falling_wedge,2023-07-29,2023-08-30,32,2023-04-24,2023-12-04,,True
BBT,BOOMBIT (BBT),double_bottom,2023-07-26,2023-08-10,15,2023-06-11,2023-09-24,,True
TRK,TRAKCJA (TRK),double_bottom,2023-08-11,2023-08-30,19,2023-06-15,2023-10-26,,True
VRG,VRG,triangle,2023-08-08,2023-08-24,16,2023-06-21,2023-10-11,,True
,WIG-POLAND,flag,2023-07-17,2023-08-11,25,2023-05-03,2023-10-25,,True
BBT,BOOMBIT (BBT),double_bottom,2023-08-14,2023-08-24,10,2023-07-15,2023-09-23,,True
RVU,RYVU (RVU),descending_triangle,2023-07-21,2023-08-07,17,2023-05-31,2023-09-27,,True
ALL,AILLERON (ALL),descending_triangle,2023-08-17,2023-08-28,11,2023-07-15,2023-09-30,8/30/2023,True
,WIG-NRCHOM,pennant,2023-07-15,2023-08-22,38,2023-03-23,2023-12-14,,True
ANR,ANSWEAR (ANR),rising_wedge,2023-08-09,2023-08-22,13,2023-07-01,2023-09-30,,True
,WIG-POLAND,pennant,2023-07-19,2023-08-15,27,2023-04-29,2023-11-04,,True
STX,STALEXP (STX),ascending_channel,2023-07-05,2023-07-24,19,2023-05-09,2023-09-19,8/30/2023,True
PKP,PKPCARGO (PKP),double_bottom,2023-08-15,2023-08-29,14,2023-07-04,2023-10-10,,True
PKP,PKPCARGO (PKP),ascending_triangle,2023-08-13,2023-08-25,12,2023-07-08,2023-09-30,,True
ALL,AILLERON (ALL),falling_wedge,2023-08-14,2023-08-28,14,2023-07-03,2023-10-09,8/30/2023,True
RVU,RYVU (RVU),falling_wedge,2023-08-07,2023-08-23,16,2023-06-20,2023-10-10,,True
SEN,SERINUS (SEN),falling_wedge,2023-07-17,2023-08-03,17,2023-05-27,2023-09-23,8/30/2023,True
,WIG-POLAND,falling_wedge,2023-08-06,2023-08-21,15,2023-06-22,2023-10-05,,True
,WIG-POLAND,falling_wedge,2023-08-01,2023-08-15,14,2023-06-20,2023-09-26,,True
RVU,RYVU (RVU),descending_channel,2023-07-25,2023-08-07,13,2023-06-16,2023-09-15,,True
PKP,PKPCARGO (PKP),horizontal_channel,2023-08-13,2023-08-23,10,2023-07-14,2023-09-22,,True
,WIG-NRCHOM,triangle,2023-07-29,2023-08-22,24,2023-05-18,2023-11-02,,True
EAH,ESOTIQ (EAH),descending_channel,2023-08-13,2023-08-29,16,2023-06-26,2023-10-16,,True
WIGTECH,WIGTECH,inverted_triangle,2023-05-19,2023-06-07,19,2023-03-23,2023-08-03,,False
WIGTECH,WIGTECH,descending_triangle,2023-05-21,2023-06-07,17,2023-03-31,2023-07-28,,False
SWIG80,SWIG80,falling_wedge,2023-08-17,2023-08-29,12,2023-07-12,2023-10-04,,False
11B,11BIT (11B),uptrend,2023-03-24,2023-06-01,69,2022-08-29,2023-12-25,,True
ALL,AILLERON (ALL),downtrend,2023-06-25,2023-08-08,44,2023-02-13,2023-12-18,,True
ASE,ASSECOSEE (ASE),support,2023-05-10,2023-08-30,112,2022-06-08,2024-07-31,,True
BRS,BORYSZEW (BRS),downtrend,2023-06-26,2023-08-25,60,2022-12-28,2024-02-21,,True
CCC,CCC,uptrend,2023-05-10,2023-08-28,110,2022-06-14,2024-07-23,,True
CIG,CIGAMES (CIG),uptrend,2023-05-12,2023-08-29,109,2022-06-19,2024-07-21,,True
CIE,CIECH (CIE),downtrend,2023-07-20,2023-08-30,41,2023-03-19,2023-12-31,,True
CRM,CORMAY (CRM),downtrend,2023-04-26,2023-07-18,83,2022-08-20,2024-03-23,,True
DAD,DADELO (DAD),uptrend,2023-06-25,2023-08-18,54,2023-01-14,2024-01-27,,True
DCR,DECORA (DCR),uptrend,2023-05-11,2023-08-30,111,2022-06-12,2024-07-28,,True
ETFBM40TR,ETFBM40TR,uptrend,2023-06-29,2023-08-28,60,2022-12-31,2024-02-24,,True
EUR,EUROCASH (EUR),downtrend,2023-06-15,2023-08-30,76,2022-10-30,2024-04-14,,True
FRO,FERRO (FRO),uptrend,2023-06-06,2023-08-25,80,2022-10-09,2024-04-21,,True
KTY,KETY (KTY),uptrend,2023-05-05,2023-08-22,109,2022-06-12,2024-07-14,,True
LEN,LENA (LEN),downtrend,2023-04-28,2023-08-11,105,2022-06-17,2024-06-21,,True
MWIG40,MWIG40,uptrend,2023-06-29,2023-08-28,60,2022-12-31,2024-02-24,,False
ZAP,PULAWY (ZAP),downtrend,2023-05-28,2023-08-23,87,2022-09-09,2024-05-10,,True
ZAP,PULAWY (ZAP),downtrend,2023-05-21,2023-08-30,101,2022-07-22,2024-06-28,,True
PZU,PZU,resistance,2023-06-01,2023-06-23,22,2023-03-27,2023-08-28,,True
RNK,RANKPROGR (RNK),uptrend,2023-05-22,2023-08-23,93,2022-08-16,2024-05-28,,True
SKH,SKARBIEC (SKH),uptrend,2023-07-01,2023-08-29,59,2023-01-05,2024-02-22,,True
WPL,WIRTUALNA (WPL),uptrend,2023-05-05,2023-08-18,105,2022-06-24,2024-06-28,,True
BBT,BOOMBIT (BBT),falling_wedge,2023-04-24,2023-08-14,112,2022-05-23,2024-07-15,,True
PCO,PEPCO (PCO),falling_wedge,2023-06-14,2023-08-23,70,2022-11-16,2024-03-20,,True
BAH,BAHOLDING (BAH),vertical_run_up,2023-06-28,2023-07-06,8,2023-06-04,2023-07-30,8/29/2023,True
STS,SATIS (STS),h&s_top,2023-06-10,2023-08-18,69,2022-11-15,2024-03-12,,True
STS,SATIS (STS),h&s_top,2023-05-29,2023-08-18,81,2022-09-28,2024-04-17,,True
COG,COGNOR (COG),vertical_run_up,2023-06-27,2023-07-04,7,2023-06-06,2023-07-25,,True
PCR,PCCROKITA (PCR),rising_wedge,2022-11-29,2023-02-23,86,2022-03-16,2023-11-08,8/29/2023,True
XTB,XTB,falling_wedge,2023-07-30,2023-08-22,23,2023-05-22,2023-10-30,,True
ABS,ASSECOBS (ABS),h&s_top,2023-05-10,2023-08-01,83,2022-09-03,2024-04-06,,True
PCO,PEPCO (PCO),falling_wedge,2023-07-04,2023-08-03,30,2023-04-05,2023-11-01,,True
EUR,EUROCASH (EUR),falling_wedge,2023-06-15,2023-08-30,76,2022-10-30,2024-04-14,,True
SNX,SUNEX (SNX),double_bottom,2023-08-17,2023-08-29,12,2023-07-12,2023-10-04,,True
STS,SATIS (STS),double_bottom,2023-06-19,2023-08-03,45,2023-02-04,2023-12-16,,True
BAH,BAHOLDING (BAH),rising_wedge,2023-04-23,2023-07-18,86,2022-08-08,2024-04-01,8/29/2023,True
3RG,3RGAMES (3RG),flat_base,2023-07-11,2023-08-28,48,2023-02-17,2024-01-19,,True
BAH,BAHOLDING (BAH),rising_wedge,2023-04-28,2023-08-02,96,2022-07-14,2024-05-16,8/29/2023,True
EAH,ESOTIQ (EAH),double_top,2023-07-27,2023-08-02,6,2023-07-09,2023-08-20,,True
PHR,PHARMENA (PHR),rising_wedge,2023-05-14,2023-07-26,73,2022-10-07,2024-03-01,,True
PHR,PHARMENA (PHR),rising_wedge,2023-05-02,2023-07-26,85,2022-08-20,2024-04-06,,True
PCR,PCCROKITA (PCR),double_bottom,2023-06-13,2023-08-07,55,2022-12-30,2024-01-19,8/29/2023,True
BAH,BAHOLDING (BAH),double_bottom,2023-08-15,2023-08-24,9,2023-07-19,2023-09-20,8/29/2023,True
SNK,SANOK (SNK),rising_wedge,2023-04-10,2023-06-02,53,2022-11-02,2023-11-08,,True
EUR,EUROCASH (EUR),falling_wedge,2023-06-11,2023-08-09,59,2022-12-16,2024-02-02,,True
MLS,MLSYSTEM (MLS),rising_wedge,2023-05-04,2023-07-28,85,2022-08-22,2024-04-08,,True
WLT,WIELTON (WLT),double_bottom,2023-07-16,2023-08-28,43,2023-03-09,2024-01-04,,True
MSW,MOSTALWAR (MSW),rising_wedge,2023-05-12,2023-08-14,94,2022-08-03,2024-05-22,,True
AMC,AMICA (AMC),flat_base,2023-04-22,2023-07-26,95,2022-07-11,2024-05-06,,True
SGN,SYGNITY (SGN),double_bottom,2023-07-17,2023-08-29,43,2023-03-10,2024-01-05,,True
BAH,BAHOLDING (BAH),inverted_triangle,2023-08-10,2023-08-24,14,2023-06-29,2023-10-05,8/29/2023,True
BOS,BOS,flat_base,2023-06-01,2023-06-28,27,2023-03-12,2023-09-17,,True
PLW,PLAYWAY (PLW),rising_wedge,2023-06-15,2023-08-29,75,2022-11-02,2024-04-10,,True
ALL,AILLERON (ALL),double_bottom,2023-07-07,2023-08-24,48,2023-02-13,2024-01-15,,True
KRU,KRUK (KRU),rising_wedge,2023-05-22,2023-07-05,44,2023-01-10,2023-11-14,,True
SNK,SANOK (SNK),double_top,2023-05-28,2023-06-13,16,2023-04-10,2023-07-31,,True
DOM,DOMDEV (DOM),double_top,2023-08-23,2023-08-29,6,2023-08-05,2023-09-16,,True
MLS,MLSYSTEM (MLS),double_top,2023-07-02,2023-07-14,12,2023-05-27,2023-08-19,,True
MLS,MLSYSTEM (MLS),rising_wedge,2023-06-07,2023-08-15,69,2022-11-12,2024-03-09,8/29/2023,True
MLS,MLSYSTEM (MLS),rising_wedge,2023-06-02,2023-06-29,27,2023-03-13,2023-09-18,8/29/2023,True
PXM,POLIMEXMS (PXM),falling_wedge,2023-08-02,2023-08-29,27,2023-05-13,2023-11-18,,True
STS,SATIS (STS),rising_wedge,2023-08-09,2023-08-23,14,2023-06-28,2023-10-04,,True
MLS,MLSYSTEM (MLS),double_top,2023-07-22,2023-08-07,16,2023-06-04,2023-09-24,,True
BAH,BAHOLDING (BAH),falling_wedge,2023-07-24,2023-08-11,18,2023-05-31,2023-10-04,8/29/2023,True
ASE,ASSECOSEE (ASE),rising_wedge,2023-07-04,2023-07-20,16,2023-05-17,2023-09-06,8/29/2023,True
MSW,MOSTALWAR (MSW),double_top,2023-07-05,2023-07-14,9,2023-06-08,2023-08-10,,True
MLS,MLSYSTEM (MLS),rising_wedge,2023-07-08,2023-08-28,51,2023-02-05,2024-01-28,8/29/2023,True
ASE,ASSECOSEE (ASE),rising_wedge,2023-07-01,2023-07-26,25,2023-04-17,2023-10-09,8/29/2023,True
STS,SATIS (STS),inverted_triangle,2023-08-08,2023-08-18,10,2023-07-09,2023-09-17,,True
,WIG-CHEMIA,falling_wedge,2023-08-13,2023-08-28,15,2023-06-29,2023-10-12,,True
LEN,LENA (LEN),double_bottom,2023-07-17,2023-08-29,43,2023-03-10,2024-01-05,,True
ZRE,ZREMB (ZRE),double_bottom,2023-08-23,2023-08-29,6,2023-08-05,2023-09-16,,True
ANR,ANSWEAR (ANR),triangle,2023-08-11,2023-08-29,18,2023-06-18,2023-10-22,,True
ACP,ASSECOPOL (ACP),falling_wedge,2023-08-01,2023-08-29,28,2023-05-09,2023-11-21,,True
BHW,HANDLOWY (BHW),falling_wedge,2023-08-07,2023-08-21,14,2023-06-26,2023-10-02,,True
PCO,PEPCO (PCO),descending_channel,2023-07-17,2023-08-03,17,2023-05-27,2023-09-23,,True
ASE,ASSECOSEE (ASE),double_bottom,2023-08-19,2023-08-28,9,2023-07-23,2023-09-24,,True
SEN,SERINUS (SEN),descending_triangle,2023-07-15,2023-08-03,19,2023-05-19,2023-09-29,8/29/2023,True
,WIG-INFO,double_bottom,2023-08-22,2023-08-28,6,2023-08-04,2023-09-15,,False
WIGTECH,WIGTECH,double_bottom,2023-08-22,2023-08-29,7,2023-08-01,2023-09-19,,False
,WIG-POLAND,descending_channel,2023-08-10,2023-08-25,15,2023-06-26,2023-10-09,,True
ATR,ATREM (ATR),uptrend,2023-05-15,2023-08-21,98,2022-07-25,2024-06-10,,True
BBT,BOOMBIT (BBT),downtrend,2023-04-24,2023-08-14,112,2022-05-23,2024-07-15,,True
BOS,BOS,support,2023-05-13,2023-08-24,103,2022-07-08,2024-06-28,,True
DEL,DELKO (DEL),uptrend,2023-07-16,2023-08-29,44,2023-03-06,2024-01-08,,True
MLS,MLSYSTEM (MLS),uptrend,2023-07-08,2023-08-28,51,2023-02-05,2024-01-28,,True
MLS,MLSYSTEM (MLS),uptrend,2023-06-18,2023-07-28,40,2023-02-18,2023-11-25,,True
PCO,PEPCO (PCO),downtrend,2023-07-02,2023-08-28,57,2023-01-12,2024-02-15,,True
PHR,PHARMENA (PHR),uptrend,2023-05-14,2023-07-26,73,2022-10-07,2024-03-01,,True
RBW,RAINBOW (RBW),uptrend,2023-06-04,2023-08-09,66,2022-11-18,2024-02-23,,True
,WIG-MEDIA,uptrend,2023-06-07,2023-08-18,72,2022-11-03,2024-03-21,,False
,WIG-SPOZYW,support,2023-05-10,2023-08-29,111,2022-06-11,2024-07-27,,False
WIGTECH,WIGTECH,support,2023-06-01,2023-08-29,89,2022-09-07,2024-05-22,,False
BMC,BUMECH (BMC),falling_wedge,2023-04-15,2023-07-18,94,2022-07-07,2024-04-25,,True
BMC,BUMECH (BMC),falling_wedge,2023-04-22,2023-08-11,111,2022-05-24,2024-07-09,,True
SEN,SERINUS (SEN),double_bottom,2023-06-21,2023-08-24,64,2022-12-11,2024-03-03,,True
DAD,DADELO (DAD),double_top,2023-06-28,2023-08-03,36,2023-03-12,2023-11-19,,True
PHR,PHARMENA (PHR),rising_wedge,2023-05-22,2023-08-17,87,2022-09-03,2024-05-04,,True
WIG20,WIG20,rising_wedge,2023-05-12,2023-08-28,108,2022-06-22,2024-07-17,,False
WIG30,WIG30,rising_wedge,2023-05-12,2023-08-28,108,2022-06-22,2024-07-17,,False
PEN,PHOTON (PEN),falling_wedge,2023-07-01,2023-08-28,58,2023-01-08,2024-02-18,,True
CPS,CYFRPLSAT (CPS),triangle,2023-06-21,2023-08-04,44,2023-02-09,2023-12-14,8/28/2023,True
ANR,ANSWEAR (ANR),triangle,2023-07-30,2023-08-17,18,2023-06-06,2023-10-10,,True
SPL,SANPL (SPL),falling_wedge,2023-07-31,2023-08-25,25,2023-05-17,2023-11-08,,True
CRM,CORMAY (CRM),double_bottom,2023-07-24,2023-08-28,35,2023-04-10,2023-12-11,,True
PXM,POLIMEXMS (PXM),falling_wedge,2023-08-12,2023-08-25,13,2023-07-04,2023-10-03,,True
ATC,ARCTIC (ATC),double_bottom,2023-08-14,2023-08-28,14,2023-07-03,2023-10-09,,True
MRC,MERCATOR (MRC),double_bottom,2023-07-21,2023-08-21,31,2023-04-19,2023-11-22,,True
11B,11BIT (11B),ascending_triangle,2023-06-27,2023-07-17,20,2023-04-28,2023-09-15,8/28/2023,True
VRG,VRG,triangle,2023-06-24,2023-07-12,18,2023-05-01,2023-09-04,8/28/2023,True
VRG,VRG,ascending_triangle,2023-06-24,2023-07-14,20,2023-04-25,2023-09-12,8/28/2023,True
ACP,ASSECOPOL (ACP),double_bottom,2023-06-30,2023-07-07,7,2023-06-09,2023-07-28,8/28/2023,True
KGH,KGHM (KGH),double_bottom,2023-08-22,2023-08-28,6,2023-08-04,2023-09-15,,True
MRC,MERCATOR (MRC),double_bottom,2023-07-09,2023-07-18,9,2023-06-12,2023-08-14,,True
,WIG-GORNIC,double_bottom,2023-08-22,2023-08-28,6,2023-08-04,2023-09-15,,False
ATT,GRUPAAZOTY (ATT),double_bottom,2023-08-22,2023-08-28,6,2023-08-04,2023-09-15,,True
ZAP,PULAWY (ZAP),descending_triangle,2023-07-16,2023-08-07,22,2023-05-11,2023-10-12,,True
,WIG-POLAND,flag,2023-07-22,2023-08-25,34,2023-04-11,2023-12-05,,True
ZAP,PULAWY (ZAP),falling_wedge,2023-07-19,2023-08-18,30,2023-04-20,2023-11-16,,True
ACP,ASSECOPOL (ACP),falling_wedge,2023-07-25,2023-08-11,17,2023-06-04,2023-10-01,8/28/2023,True
SPL,SANPL (SPL),double_bottom,2023-08-21,2023-08-28,7,2023-07-31,2023-09-18,,True
GTC,GTC,triangle,2023-08-04,2023-08-23,19,2023-06-08,2023-10-19,8/28/2023,True
GTC,GTC,ascending_triangle,2023-07-31,2023-08-23,23,2023-05-23,2023-10-31,8/28/2023,True
,WIG-SPOZYW,triangle,2023-07-26,2023-08-11,16,2023-06-08,2023-09-28,8/28/2023,False
ETFBW20TR,ETFBW20TR,double_bottom,2023-08-22,2023-08-28,6,2023-08-04,2023-09-15,,True
,WIG-SPOZYW,descending_triangle,2023-08-05,2023-08-21,16,2023-06-18,2023-10-08,8/28/2023,False
ALE,ALLEGRO (ALE),uptrend,2023-05-26,2023-08-28,94,2022-08-17,2024-06-05,,True
BBD,BBIDEV (BBD),support,2023-07-30,2023-08-28,29,2023-05-04,2023-11-23,,True
BMC,BUMECH (BMC),downtrend,2023-04-22,2023-08-11,111,2022-05-24,2024-07-09,,True
CRM,CORMAY (CRM),support,2023-05-22,2023-08-28,98,2022-08-01,2024-06-17,,True
CRJ,CREEPYJAR (CRJ),resistance,2023-07-31,2023-08-28,28,2023-05-08,2023-11-20,,True
DBC,DEBICA (DBC),uptrend,2023-05-12,2023-08-28,108,2022-06-22,2024-07-17,,True
STP,STALPROD (STP),downtrend,2023-06-22,2023-08-28,67,2022-12-03,2024-03-16,,True
XTP,XTPL (XTP),uptrend,2023-07-06,2023-08-25,50,2023-02-06,2024-01-22,,True
RVU,RYVU (RVU),double_top,2023-04-08,2023-06-14,67,2022-09-19,2024-01-01,,True
ALR,ALIOR (ALR),rising_wedge,2023-05-10,2023-08-24,106,2022-06-26,2024-07-07,,True
LPP,LPP,rising_wedge,2023-05-08,2023-08-24,108,2022-06-18,2024-07-13,,True
,WIG-ODZIEZ,double_top,2023-06-23,2023-07-18,25,2023-04-09,2023-10-01,,False
,WIG-ODZIEZ,rising_wedge,2023-05-08,2023-08-24,108,2022-06-18,2024-07-13,,False
KER,KERNEL (KER),double_bottom,2023-07-31,2023-08-24,24,2023-05-20,2023-11-04,,True
PKN,PKNORLEN (PKN),h&s_top,2023-07-17,2023-08-23,37,2023-03-28,2023-12-12,,True
TEN,TSGAMES (TEN),double_bottom,2023-05-14,2023-07-10,57,2022-11-24,2023-12-28,,True
FTE,FORTE (FTE),triangle,2023-05-10,2023-07-07,58,2022-11-17,2023-12-28,8/25/2023,True
ING,INGBSK (ING),double_top,2023-07-25,2023-08-15,21,2023-05-23,2023-10-17,,True
FW20,FW20,double_top,2023-06-29,2023-07-26,27,2023-04-09,2023-10-15,,False
PKN,PKNORLEN (PKN),rising_wedge,2023-05-10,2023-08-21,103,2022-07-05,2024-06-25,,True
PEN,PHOTON (PEN),falling_wedge,2023-06-14,2023-07-06,22,2023-04-09,2023-09-10,8/25/2023,True
FW20,FW20,rising_wedge,2023-05-10,2023-08-24,106,2022-06-26,2024-07-07,,False
DOM,DOMDEV (DOM),rising_wedge,2023-07-15,2023-08-25,41,2023-03-14,2023-12-26,,True
,WIG-CHEMIA,vertical_run_up,2023-06-12,2023-06-16,4,2023-05-31,2023-06-28,,True
DBC,DEBICA (DBC),rising_wedge,2023-05-20,2023-06-16,27,2023-02-28,2023-09-05,,True
,WIG-ODZIEZ,vertical_run_up,2023-07-07,2023-07-13,6,2023-06-19,2023-07-31,,False
ACT,ACTION (ACT),triangle,2023-07-22,2023-08-24,33,2023-04-14,2023-12-01,,True
ACP,ASSECOPOL (ACP),double_bottom,2023-06-06,2023-06-19,13,2023-04-28,2023-07-28,8/25/2023,True
11B,11BIT (11B),double_top,2023-06-23,2023-07-07,14,2023-05-12,2023-08-18,,True
MWIG40,MWIG40,double_top,2023-08-02,2023-08-17,15,2023-06-18,2023-10-01,,False
AMC,AMICA (AMC),triangle,2023-07-31,2023-08-24,24,2023-05-20,2023-11-04,,True
,WIG-CHEMIA,double_bottom,2023-06-05,2023-06-14,9,2023-05-09,2023-07-11,,True
PEP,PEP,triangle,2023-04-03,2023-05-05,32,2022-12-28,2023-08-09,8/25/2023,True
ENA,ENEA (ENA),double_top,2023-08-15,2023-08-24,9,2023-07-19,2023-09-20,,True
PEP,PEP,rising_wedge,2023-02-26,2023-03-17,19,2022-12-31,2023-05-13,8/25/2023,True
ENG,ENERGA (ENG),falling_wedge,2023-07-31,2023-08-25,25,2023-05-17,2023-11-08,,True
PEP,PEP,rising_wedge,2023-03-18,2023-05-16,59,2022-09-22,2023-11-09,8/25/2023,True
STX,STALEXP (STX),rising_wedge,2023-07-03,2023-07-19,16,2023-05-16,2023-09-05,8/25/2023,True
ATD,ATENDE (ATD),descending_triangle,2023-08-08,2023-08-24,16,2023-06-21,2023-10-11,,True
STX,STALEXP (STX),rising_wedge,2023-06-27,2023-07-24,27,2023-04-07,2023-10-13,8/25/2023,True
WIGDIV,WIGDIV,double_top,2023-07-30,2023-08-17,18,2023-06-06,2023-10-10,,False
SWIG80,SWIG80,ascending_triangle,2023-05-24,2023-07-05,42,2023-01-18,2023-11-08,8/25/2023,False
ETFBM40TR,ETFBM40TR,triangle,2023-08-11,2023-08-24,13,2023-07-03,2023-10-02,,True
AMC,AMICA (AMC),resistance,2023-04-22,2023-07-26,95,2022-07-11,2024-05-06,,True
ABS,ASSECOBS (ABS),resistance,2023-07-29,2023-08-25,27,2023-05-09,2023-11-14,,True
ATD,ATENDE (ATD),uptrend,2023-06-06,2023-08-24,79,2022-10-12,2024-04-17,,True
DBC,DEBICA (DBC),uptrend,2023-02-07,2023-05-10,92,2022-05-07,2024-02-10,,True
PXM,POLIMEXMS (PXM),uptrend,2023-06-28,2023-08-23,56,2023-01-11,2024-02-07,,True
,WIG-PALIWA,uptrend,2023-05-10,2023-08-21,103,2022-07-05,2024-06-25,,False
ART,ARTIFEX (ART),double_top,2023-07-20,2023-08-08,19,2023-05-24,2023-10-04,,True
ETFBW20LV,ETFBW20LV,rising_wedge,2023-05-10,2023-08-24,106,2022-06-26,2024-07-07,,True
PGE,PGE,rising_wedge,2023-04-10,2023-05-19,39,2022-12-14,2023-09-13,8/24/2023,True
ABS,ASSECOBS (ABS),h&s_top,2023-05-24,2023-08-01,69,2022-10-29,2024-02-24,,True
ETFBW20TR,ETFBW20TR,rising_wedge,2023-05-10,2023-08-21,103,2022-07-05,2024-06-25,,True
BBD,BBIDEV (BBD),h&s_top,2023-07-25,2023-08-21,27,2023-05-05,2023-11-10,,True
BBD,BBIDEV (BBD),rising_wedge,2023-06-23,2023-08-11,49,2023-01-27,2024-01-05,,True
ART,ARTIFEX (ART),double_top,2023-08-09,2023-08-15,6,2023-07-22,2023-09-02,,True
BMC,BUMECH (BMC),double_bottom,2023-07-22,2023-08-24,33,2023-04-14,2023-12-01,,True
WLT,WIELTON (WLT),double_bottom,2023-06-10,2023-06-29,19,2023-04-14,2023-08-25,,True
PEN,PHOTON (PEN),double_bottom,2023-07-09,2023-07-19,10,2023-06-09,2023-08-18,8/24/2023,True
SNK,SANOK (SNK),falling_wedge,2023-07-11,2023-08-15,35,2023-03-28,2023-11-28,,True
PEN,PHOTON (PEN),double_bottom,2023-07-23,2023-07-31,8,2023-06-29,2023-08-24,8/24/2023,True
PEN,PHOTON (PEN),double_bottom,2023-08-03,2023-08-14,11,2023-07-01,2023-09-16,8/24/2023,True
WLT,WIELTON (WLT),rising_wedge,2023-07-18,2023-08-01,14,2023-06-06,2023-09-12,8/24/2023,True
BMC,BUMECH (BMC),double_bottom,2023-06-27,2023-07-07,10,2023-05-28,2023-08-06,,True
ETFBW20ST,ETFBW20ST,double_bottom,2023-07-08,2023-08-01,24,2023-04-27,2023-10-12,,True
OPL,ORANGEPL (OPL),falling_wedge,2023-08-04,2023-08-23,19,2023-06-08,2023-10-19,,True
